vul,weakness_name,intrusion_action,vendor,product_name
688,improper limitation of a pathname to a restricted directory ('path traversal'),an attacker can leverage this vulnerability to delete files while posing as an administrator.,Advantech,webaccess/scada
689,improper authorization,this could be leveraged by an attacker to make application file changes or to enable privilege escalation attacks.,Johnson Controls,"exacqvision esm, microsoft windows operating systemswith the exception of microsoft windows server"
690,use of hard-coded credentials,allow manipulation of the operating system of the managed switch.,WAGO,"852-303, 852-1305, 852-1505"
691,use of hard-coded cryptographic key,,WAGO,"852-303, 852-1305, 852-1505"
692,improper authorization,an attacker with network access to port 80/tcp could change device properties without authorization.,Siemens,"2017 r2, 2018 r1, 2018 r2, 2018 r3, 2019 r1"
693,incorrect user management,an attacker with network access to port 80/tcp could change user roles without proper authorization.,Siemens,"2017 r2, 2018 r1, 2018 r2, 2018 r3, 2019 r1"
694,missing authorization,an attacker with network access to port 80/tcp can change user-defined event properties without proper authorization.,Siemens,"2017 r2, 2018 r1, 2018 r2, 2018 r3, 2019 r1"
695,improper privilege management,an authenticated attacker could escalate privileges by sending specially crafted requests to the integrated webserver.,Siemens,"simatic ident families mv420, simatic ident families mv440"
696,cleartext transmission of sensitive information,data transmitted between the device and the user can be obtained by an attacker in a privileged network position.,Siemens,"simatic ident families mv420, simatic ident families mv440"
697,improper restriction of operations within the bounds of a memory buffer,cause a denial-of-service condition by sending specially crafted packets.,Siemens,"siemens logo!8: 6ed1052-xyyxx-0ba8 fs:01 to fs:06 / firmware, siemens logo!8: 6ed1052-xyy08-0ba0 fs:01"
698,session fixation,,Siemens,"siemens logo!8: 6ed1052-xyyxx-0ba8 fs:01 to fs:06 / firmware, siemens logo!8: 6ed1052-xyy08-0ba0 fs:01"
699,information exposure,an attacker can enumerate and disclose all the valid users on the system.,Optergy,proton/enterprise
700,cross-site request forgery (csrf),allows users to perform certain actions via http requests without performing any validity checks to verify the requests.,Optergy,proton/enterprise
701,unrestricted upload of file with dangerous type,a remote and unauthenticated attacker can upload files with arbitrary extensions into a directory within application’s web root and execute them with privileges of the web server.,Optergy,proton/enterprise
702,url redirection to untrusted site ('open redirect'),"this vulnerability can be exploited to redirect a user to an arbitrary website; e.g., when a user clicks a specially crafted link to the affected script hosted on a trusted domain.",Optergy,proton/enterprise
703,hidden functionality,attackers can directly navigate to an undocumented backdoor script and gain full system access.,Optergy,proton/enterprise
704,exposed dangerous method or function,unauthenticated users may be able to use undeclared class functions to access certain resources directly.,Optergy,proton/enterprise
705,use of hard-coded credentials,attackers can use cve-2019-7278 to send unauthorized sms messages to any phone number depending on the stored credits to the hard-coded credentials in the function.,Optergy,proton/enterprise
706,heap-based buffer overflow,"cause heap-based buffer overflows, which may lead to remote code execution.",Panasonic,fpwin pro
707,access of resource using incompatible type ('type confusion'),attacker-created project files loaded by an authenticated user can trigger incompatible type errors because the resource does not have expected properties.,Panasonic,fpwin pro
708,key management errors,a remote attacker can exploit a server’s private key by sending carefully constructed useridentitytokens encrypted with the basic128rsa15 security policy.,Phoenix Contact,"axc f 2152, axc f 2152"
709,improper access control,allow an attacker to bypass the authentication of the device.,Phoenix Contact,"axc f 2152, axc f 2152"
710,channel accessible by non-endpoint ('man-in-the-middle'),"an attacker trying to connect to the device using a man-in-the-middle setup may crash the plc service, resulting in a denial of service condition.",Phoenix Contact,"axc f 2152, axc f 2152"
711,improper access control,allow full access to the device configuration.,Phoenix Contact,"fl nat smn 8tx-m (2702443), fl nat smn 8tx-m-dmg (2989352), fl nat smn 8tx (2989365), fl nat smcs 8tx (2989378)"
712,improper neutralization of input during web page generation ('cross-site scripting'),"allows a remote authenticated attacker with access to event configuration to store malicious code on the server, which could later be triggered by a legitimate user resulting in code execution within the user’s browser.",Geutebrück,"eec-2xxx, ebc-21xx, efd-22xx, ethc-22xx, ewpc-22xx"
713,improper neutralization of special elements used in an os command ('os command injection'),"using a specially crafted url command, a remote authenticated user can execute commands as root.",Geutebrück,"eec-2xxx, ebc-21xx, efd-22xx, ethc-22xx, ewpc-22xx"
714,improper neutralization of special elements used in an os command ('os command injection'),"allow a remote authenticated attacker with access to network configuration to supply system commands to the server, leading to remote code execution as root.",Geutebrück,"eec-2xxx, ebc-21xx, efd-22xx, ethc-22xx, ewpc-22xx"
715,insufficiently protected credentials,allow an authenticated local user access to citect user credentials.,AVEVA,"vijeo citect, citectscada"
716,stack-based buffer overflow,"cause the service to overwrite buffers, leading to remote code execution and escalation of privileges.",Emerson,emerson ovation ocr400 controller
717,heap-based buffer overflow,cause memory corruption that halts the controller or leads to remote code execution and escalation of privileges.,Emerson,emerson ovation ocr400 controller
718,cross-site request forgery (csrf),allow unauthorized actions with administrative privileges if a logged-in user visits a malicious website.,Computrols,"cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web"
719,information exposure through discrepancy,,Computrols,"cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web"
720,improper neutralization of input during web page generation ('cross-site scripting'),allow an attacker to execute arbitrary code in a user’s browser session in context of an affected site.,Computrols,"cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web"
721,improper neutralization of special elements used in a command ('command injection'),allow attackers to execute commands directly on the operating system.,Computrols,"cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web"
722,information exposure through source code,allow an attacker to download the entire firmware codebase and discover sensitive information about the inner workings of the underlying os.,Computrols,"cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web"
723,use of hard-coded cryptographic key,allow an authenticated attacker to gain access to the full database of the device and discover sensitive information.,Computrols,"cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web"
724,improper neutralization of special elements used in an sql command ('sql injection'),allow a remote authenticated attacker to execute arbitrary sql commands in the application’s database.,Computrols,"cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web"
725,authentication bypass using an alternate path or channel,allow an unauthenticated attacker to bypass authentication and gain full control of the device.,Computrols,"cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web"
726,inadequate encryption strength,allow discovery of passwords.,Computrols,"cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web, cbas web"
727,uncontrolled resource consumption,cause a denial-of-service condition.,Mitsubishi Electric,qj71e71-100
728,use of insufficiently random values,allow attackers to hijack tcp connections carrying unsecured communications.,Schneider Electric,"modicon m580 firmware, modicon m340 firmware, modicon premium, modicon quantum"
729,out-of-bounds read,"an out-of-bounds read vulnerability has been identified, which may crash the system.",Fuji Electric,alpha7 pc loader
730,missing authentication for critical function,"if affected installations do not have “encrypted communication” configured, an unauthenticated attacker with network access may be able to execute arbitrary code.",Siemens,"simatic pcs 7, simatic pcs 7, simatic wincc, simatic wincc"
731,deserialization of untrusted data,allow an attacker to execute arbitrary code if the attacker tricks a legitimate user into opening a manipulated project.,Siemens,logo!soft comfort
732,missing authentication for critical function,attackers with access to port 10005/tcp could perform device reconfigurations and obtain project files from the devices.,Siemens,siemens logo!8 bm
733,improper handling of extra values,"project data stored on the device, which is accessible via port 10005/tcp, can be decrypted due to a hardcoded encryption key.",Siemens,siemens logo!8 bm
734,plaintext storage of a password,allow an attacker with access to port 10005/tcp to obtain passwords of the device.,Siemens,siemens logo!8 bm
735,uncontrolled resource consumption,an attacker with network access to the device could use the vulnerability to compromise availability of the affected system.,Siemens,"sinamics perfect harmony gh180 with nxg i control, mlfbs: 6sr2, 6sr3, 6sr4, sinamics perfect harmony gh180 with nxg ii control, mlfbs: 6sr2, 6sr3, 6sr4"
736,command injection,"allow the attacker to copy files, read configuration, write files, delete files, or reboot the device.",Siemens,w1750d
737,information exposure,allow disclosure of sensitive information.,Siemens,w1750d
738,information exposure,allow disclosure of sensitive information.,Siemens,w1750d
739,command injection,an authenticated administrative user can execute arbitrary commands on the underlying operating system.,Siemens,w1750d
740,cross-site scripting,"if an attacker can trick an administrator into clicking a link, they could then take administrative actions on the device or expose a session cookie for an administrative session.",Siemens,w1750d
741,use of hard-coded credentials,allow an attacker to read/write variables over snmp.,Siemens,"simatic hmi comfort panels, 4” – 22”, simatic hmi comfort outdoor panels, 7” & 15”, simatic hmi ktp mobile panels ktp400f, ktp700, ktp700f, ktp900, ktp900f, simatic wincc runtime advanced, simatic wincc runtime professional, simatic wincc (tia portal), simatic hmi classic devices (tp/mp/op/mp mobile panel)"
742,insufficiently protected credentials,an attacker with network access could potentially obtain a tls session key and use it to decrypt tls traffic.,Siemens,"simatic hmi comfort panels, 4” – 22”, simatic hmi comfort outdoor panels, 7” & 15”, simatic hmi ktp mobile panels ktp400f, ktp700, ktp700f, ktp900, ktp900f, simatic wincc runtime advanced, simatic wincc runtime professional, simatic wincc (tia portal), simatic hmi classic devices (tp/mp/op/mp mobile panel)"
743,cross-site scripting,allow a cross-site scripting (xss) attack if an attacker is able to modify certain device configuration settings via snmp.,Siemens,"simatic hmi comfort panels, 4” – 22”, simatic hmi comfort outdoor panels, 7” & 15”, simatic hmi ktp mobile panels ktp400f, ktp700, ktp700f, ktp900, ktp900f, simatic wincc runtime advanced, simatic wincc runtime professional, simatic wincc (tia portal), simatic hmi classic devices (tp/mp/op/mp mobile panel)"
744,use of hard-coded credentials,the application utilizes hard coded username and password credentials for application login.,Orpak (acquired by Gilbarco Veeder-Root),"siteomat, siteomat"
745,improper neutralization of input during web page generation ('cross-site scripting'),allow cross-site scripting.,Orpak (acquired by Gilbarco Veeder-Root),"siteomat, siteomat"
746,improper neutralization of special elements used in an sql command ('sql injection'),allow an attacker to access the product by specially crafted input.,Orpak (acquired by Gilbarco Veeder-Root),"siteomat, siteomat"
747,missing encryption of sensitive data,allow an attacker with access to transmitted data to obtain credentials and bypass authentication.,Orpak (acquired by Gilbarco Veeder-Root),"siteomat, siteomat"
748,improper control of generation of code ('code injection'),allow unauthenticated users to execute specially crafted code on the target system.,Orpak (acquired by Gilbarco Veeder-Root),"siteomat, siteomat"
749,stack-based buffer overflow,allow an attacker to execute arbitrary code.,Orpak (acquired by Gilbarco Veeder-Root),"siteomat, siteomat"
750,uncontrolled search path,allow an attacker to gain administrative privileges on a system during installation or upgrade.,General Electric,"communicator installer, communicator application, communicator postgresql, communicator metermanager, communicator wise uninstaller"
751,uncontrolled search path,allow an attacker to manipulate widgets and ui elements.,General Electric,"communicator installer, communicator application, communicator postgresql, communicator metermanager, communicator wise uninstaller"
752,use of hard-coded credentials,allow control over the database.,General Electric,"communicator installer, communicator application, communicator postgresql, communicator metermanager, communicator wise uninstaller"
753,improper access controls,"allow an unprivileged user to perform certain administrative actions, which may allow the execution of scheduled scripts with system administrator privileges.",General Electric,"communicator installer, communicator application, communicator postgresql, communicator metermanager, communicator wise uninstaller"
754,improper access controls,allow an attacker to gain administrator privileges to the system.,General Electric,"communicator installer, communicator application, communicator postgresql, communicator metermanager, communicator wise uninstaller"
755,uncontrolled resource consumption,an attacker could send a crafted http/https request to render the web server unavailable and/or lead to remote code execution caused by a stack-based buffer overflow vulnerability.,Rockwell Automation,"compactlogix 5370 l1 controllers, compactlogix 5370 l2 controllers, compactlogix 5370 l3 controllers, compact guardlogix 5370 controllers, armor compact guardlogix 5370 controllers"
756,stack-based buffer overflow,cause a denial-of-service condition where the controller enters a major non-recoverable faulted state (mnrf).,Rockwell Automation,"compactlogix 5370 l1 controllers, compactlogix 5370 l2 controllers, compactlogix 5370 l3 controllers, compact guardlogix 5370 controllers, armor compact guardlogix 5370 controllers"
757,uncontrolled resource consumption,"the device is susceptible to a denial-of-service condition as a result of an overflow of tcp packets, which requires the device to be manually rebooted.",Fujifilm,"cr-ir 357 fcr carbon x, cr-ir 357 fcr xc-2, cr-ir 357 fcr capsula x"
758,improper access control,,Fujifilm,"cr-ir 357 fcr carbon x, cr-ir 357 fcr xc-2, cr-ir 357 fcr capsula x"
759,url redirection to untrusted site ('open redirect'),allow a remote unauthenticated attacker to input a malicious link to redirect users to a malicious site that could run or download arbitrary malware on the user’s machine.,Rockwell Automation,"micrologix 1400 controllers series a, micrologix 1400 controllers, micrologix 1100 controllers, compactlogix 5370 l1 controllers, compactlogix 5370 l2 controllers, compactlogix 5370 l3 controllers (includes compactlogix guardlogix controllers)"
760,stack-based buffer overflow,this may occur because cncsoft lacks user input validation before copying data from project files onto the stack.,Delta Electronics (Delta),cncsoft screeneditor
761,heap-based buffer overflow,,Delta Electronics (Delta),cncsoft screeneditor
762,out-of-bounds read,"multiple out-of-bounds read vulnerabilities may be exploited, allowing information disclosure due to a lack of user input validation for processing specially crafted project files.",Delta Electronics (Delta),cncsoft screeneditor
763,use of hard-coded credentials,an attacker can exploit this vulnerability to lock other users out from the device or open closed network ports.,WAGO,"series 750-88x, series 750-88x, series 750-88x, series 750-88x, series 750-88x, series 750-88x, series 750-88x, series 750-88x, series 750-88x, series 750-88x, series 750-88x, series 750-87x, series 750-87x, series 750-87x, series 750-87x, series 750-87x"
764,uncontrolled resource consumption,cause a denial-of-service condition.,Siemens,simocode pro v eip
765,improper neutralization of special elements used in a command,an attacker with network access to the web server on port 80/tcp or 443/tcp could execute system commands with administrative privileges.,Siemens,spectrum power 4 with web office portal
766,incorrect calculation of buffer size,"an attacker could use the vulnerability to compromise confidentiality, integrity and availability of the affected device.",Siemens,"sinema remote connect client, sinema remote connect server"
767,out-of-bounds read,an attacker could use the vulnerability to compromise availability of the affected system.,Siemens,"sinema remote connect client, sinema remote connect server"
768,stack-based buffer overflow,"an attacker could use the vulnerability to compromise confidentiality, integrity and availability of the affected system.",Siemens,"sinema remote connect client, sinema remote connect server"
769,improper handling of insufficient permissions,"an attacker could use the vulnerability to compromise confidentiality, integrity and availability of the affected system.",Siemens,"sinema remote connect client, sinema remote connect server"
770,double free,"the shipped version of the quagga bgp daemon (bgpd) can double free memory when processing certain forms of update messages, containing cluster-list and/or unknown attributes.",Siemens,ruggedcom rox ii
771,out-of-bounds read,"the shipped version of the quagga bgp daemon (bgpd) can overrun internal bgp code-to-string conversion tables used for debug by 1 pointer value, based on input.",Siemens,ruggedcom rox ii
772,uncontrolled resource consumption,"the parser can enter an infinite loop on invalid capabilities, causing a denial of service.",Siemens,ruggedcom rox ii
773,use after free,an attacker could use a specially crafted project file to exploit and execute code under the privileges of the application.,Omron,"cx-programmer, common components january"
774,uncontrolled resource consumption,cause the device to reload.,Rockwell Automation,"allen-bradley stratix 5400, allen-bradley stratix 5410, allen-bradley stratix 5700, allen-bradley armorstratix 5700"
775,resource management errors,"allow an unauthenticated, adjacent attacker to cause an affected device to reload, resulting in a denial-of-service condition.",Rockwell Automation,"·allen-bradley stratix 5400, ·allen-bradley stratix 5410, ·allen-bradley stratix 5700, ·allen-bradley armorstratix 5700, ·allen-bradley stratix 8000, ·allen-bradley stratix 8300"
776,resource management errors,"allow an unauthenticated, remote attacker to cause a buffer overflow condition on an affected device, resulting in a denial-of-service condition.",Rockwell Automation,"·allen-bradley stratix 5400, ·allen-bradley stratix 5410, ·allen-bradley stratix 5700, ·allen-bradley armorstratix 5700, ·allen-bradley stratix 8000, ·allen-bradley stratix 8300"
777,resource management errors,"allow an unauthenticated remote attacker to cause a denial-of-service condition of ptp, which may result in time synchronization issues across the network.",Rockwell Automation,"·allen-bradley stratix 5400, ·allen-bradley stratix 5410, ·allen-bradley stratix 5700, ·allen-bradley armorstratix 5700, ·allen-bradley stratix 8000, ·allen-bradley stratix 8300"
778,improper input validation,"allow an unauthenticated, remote attacker to cause the device to reload, resulting in a denial-of-service condition.",Rockwell Automation,"·allen-bradley stratix 5400, ·allen-bradley stratix 5410, ·allen-bradley stratix 5700, ·allen-bradley armorstratix 5700, ·allen-bradley stratix 8000, ·allen-bradley stratix 8300"
779,resource management errors,"allow an unauthenticated, adjacent attacker to exhaust memory on an affected device, resulting in a denial-of-service condition.",Rockwell Automation,"·allen-bradley stratix 5400, ·allen-bradley stratix 5410, ·allen-bradley stratix 5700, ·allen-bradley armorstratix 5700, ·allen-bradley stratix 8000, ·allen-bradley stratix 8300"
780,improper input validation,allow an unauthenticated remote attacker to cause the device to reload.,Rockwell Automation,"allen-bradley stratix 5950 security appliance, allen-bradley stratix 5950 security appliance, allen-bradley stratix 5950 security appliance, allen-bradley stratix 5950 security appliance"
781,improper neutralization of special elements used in a command ('command injection'),allow remote code execution.,Advantech,webaccess/scada
782,stack-based buffer overflow,allow remote code execution.,Advantech,webaccess/scada
783,improper access control,allow an attacker to cause a denial-of-service condition.,Advantech,webaccess/scada
784,uncontrolled resource consumption ('resource exhaustion'),allow disruption of the availability of the device.,Rockwell Automation,powerflex 525 ac drives with embedded ethernet/ip and safety
785,improper neutralization of special elements used in a command ('command injection'),,Phoenix Contact,"rad-80211-xd (2885728), rad-80211-xd/hp-bus (2900047)"
786,missing authentication for critical function,cause a denial of service condition.,ENTTEC,"datagate mk2 all, storm 24 all, pixelator all"
787,uncontrolled search path element,allows an attacker to load and execute a malicious file from the ux32w.dll in third-party component sentinel ultrapro.,AVEVA,"indusoft web studio, intouch edge hmi"
788,out-of-bounds write,allow an attacker to execute remote code in the context of the current process.,LCDS—Leão Consultoria e Desenvolvimento de Sistemas LTDA ME,scada
789,improper limitation of a pathname to a restricted directory ('path traversal'),allow unauthorized disclosure of information.,PEPPERL+FUCHS,wha-gw
790,stack-based buffer overflow,"an input validation issue in a .dll file of rslinx classic where the data in a forward open service request is passed to a fixed size buffer, allowing an attacker to exploit a stack-based buffer overflow condition.",Rockwell Automation,rslinx classic
791,improper neutralization of input during web page generation ('cross-site scripting'),allow an attacker to execute arbitrary code.,PSI GridConnect GmbH (formerly known as PSI Nentec GmbH),"telecontrol gateway 3g, telecontrol gateway xs-mu, telecontrol gateway vm, smart telecontrol unit tcg, iec104 security proxy"
792,improper authentication,allow an unauthenticated user to enable escalation of privilege via network access.,Intel,intel data center manager sdk
793,protection mechanism failure,allow an authenticated user to enable information disclosure via local access.,Intel,intel data center manager sdk
794,protection mechanism failure,allow an authenticated user to enable information disclosure via local access.,Intel,intel data center manager sdk
795,permission issues,allow an authenticated user to enable escalation of privilege via local access.,Intel,intel data center manager sdk
796,protection mechanism failure,allow a privileged user to enable escalation of privilege via local access.,Intel,intel data center manager sdk
797,protection mechanism failure,allow a privileged user to enable escalation of privilege via local access.,Intel,intel data center manager sdk
798,permission issues,allow an authenticated user to enable disclosure of information via local access.,Intel,intel data center manager sdk
799,permission issues,allow an authenticated user to enable disclosure of information via local access.,Intel,intel data center manager sdk
800,key management errors,allow an authenticated user to enable information disclosure via local access.,Intel,intel data center manager sdk
801,permission issues,allow an authenticated user to enable information disclosure via local access.,Intel,intel data center manager sdk
802,insufficient control flow management,allow a privileged user to enable a denial of service via local access.,Intel,intel data center manager sdk
803,out-of-bounds read,cause the software to crash due to lacking user input validation for processing project files.,Delta Electronics (Delta),cncsoft screeneditor
804,improper input validation,allow an attacker to read confidential information and remotely execute arbitrary code.,Horner Automation,cscape
805,improper neutralization of input during web page generation ('cross-site scripting'),a remote attacker could inject arbitrary code into a targeted user’s web browser to gain access to the affected device.,Rockwell Automation,powermonitor 1000
806,authentication bypass using an alternate path or channel,"a remote attacker may be able to use a proxy to enable functionality that is typically available to those with administrative rights for the web application, allowing the attacker to bypass authentication.",Rockwell Automation,powermonitor 1000
807,authentication bypass using an alternate path or channel,"cause the device to reboot, which may be used to cause a continual denial-of-service condition.",Pangea Communications,internet fax ata
808,stack-based buffer overflow,allow remote attackers to execute arbitrary code on embedded platforms via traffic on port 2947/tcp or crafted json inputs.,gpsd Open Source Project,"gpsd, microjson"
809,improper neutralization of input during web page generation ('cross-site scripting'),,OSIsoft,"pi vision, pi vision"
810,improper input validation,cause a denial-of-service condition in the affected products.,Siemens,"firmware variant iec 61850 for en100 ethernet module, firmware variant modbus tcp for en100 ethernet module, firmware variant dnp3 tcp for en100 ethernet module, firmware variant iec104 for en100 ethernet module, firmware variant profinet io for en100 ethernet module, siprotec 5 relays with cpu variants cp300 and cp100 and the respective ethernet communication modules, siprotec 5 relays with cpu variants cp200 and the respective ethernet communication modules"
811,information exposure,"cause the driver to return uninitialized memory, which may result in kernel memory disclosure.",WIBU-SYSTEMS AG,"siemens sicam 230, 3.14, 3.15, 3.16, siemens siship emcs, imac, ipms, copa-data straton workbench, phoenix contact meview3"
812,out-of-bounds write,allow privilege escalation.,WIBU-SYSTEMS AG,"siemens sicam 230, 3.14, 3.15, 3.16, siemens siship emcs, imac, ipms, copa-data straton workbench, phoenix contact meview3"
813,heap-based buffer overflow,"cause a heap overflow, which may lead to remote code execution.",WIBU-SYSTEMS AG,"siemens sicam 230, 3.14, 3.15, 3.16, siemens siship emcs, imac, ipms, copa-data straton workbench, phoenix contact meview3"
814,improper input validation,cause a denial-of-service condition of the cpu.,Siemens,simatic s7-300 cpus
815,cryptographic issues,allow an unauthenticated user to obtain the tls session key via the network.,Siemens,"simatic fieldpg m5, simatic ipc427e, simatic ipc477e, simatic ipc547e, simatic ipc547g, simatic ipc627d, simatic ipc647d, simatic ipc677d, simatic ipc827d, simatic ipc847d, simatic itp1000"
816,improper restriction of operations within the bounds of a memory buffer,allow a privileged user to execute arbitrary code with intel amt execution privilege via local access.,Siemens,"simatic fieldpg m5, simatic ipc427e, simatic ipc477e, simatic ipc547e, simatic ipc547g, simatic ipc627d, simatic ipc647d, simatic ipc677d, simatic ipc827d, simatic ipc847d, simatic itp1000"
817,resource management errors,allow an unauthenticated user with intel amt provisioned to cause a partial denial-of-service condition via network access.,Siemens,"simatic fieldpg m5, simatic ipc427e, simatic ipc477e, simatic ipc547e, simatic ipc547g, simatic ipc627d, simatic ipc647d, simatic ipc677d, simatic ipc827d, simatic ipc847d, simatic itp1000"
818,cleartext transmission of sensitive information,cause a denial-of-service condition.,Siemens,cp 1604 and 1616
819,improper neutralization of input during web page generation ('cross-site scripting'),allow cross-site scripting (xss) attacks if unsuspecting users are tricked into following a malicious link.,Siemens,cp 1604 and 1616
820,cross-site request forgery,allow a cross-site request forgery (csrf) attack if an unsuspecting user is tricked into accessing a malicious link.,Siemens,cp 1604 and 1616
821,uncaught exception,allow an unauthenticated remote attacker to cause a denial-of-service condition on a web server.,Siemens,"sicam a8000 cp-8000, sicam a8000 cp-802x, sicam a8000 cp-8050"
822,improper input validation,cause a denial-of-service condition in the affected products.,Siemens,firmware variant iec 61850 for en100 ethernet module
823,improper input validation,cause a denial-of-service condition in the en100 module if oscillographs are running.,Siemens,firmware variant iec 61850 for en100 ethernet module
824,improper input validation,a remote attacker could send a crafted udp packet to the snmp service causing a denial-of-service condition to occur until the affected product is restarted.,Rockwell Automation,"1756-eweb (includes 1756-ewebk), compactlogix 1768-eweb"
825,improper input validation,cause a denial of service on the device.,Siemens,"simatic s7-1500 cpu, simatic s7-1500 cpu"
826,improper input validation,cause a denial of service on the device.,Siemens,"simatic s7-1500 cpu, simatic s7-1500 cpu"
827,improper authentication,"an attacker may be able change the password for an admin user who is currently or previously logged in, provided the device has not been restarted.",Kunbus,pr100088 modbus gateway
828,missing authentication for critical function,registers used to store modbus values can be read and written from the web interface without authentication.,Kunbus,pr100088 modbus gateway
829,improper input validation,an attacker could specially craft an ftp request that could crash the device.,Kunbus,pr100088 modbus gateway
830,information exposure through query strings in get request,an attacker could retrieve passwords from an http get request if the attacker is in an mitm position.,Kunbus,pr100088 modbus gateway
831,cleartext storage of sensitive information,an attacker could retrieve plain-text credentials stored in an xml file through ftp.,Kunbus,pr100088 modbus gateway
832,use of hard-coded credentials,"allow admin access to the entire service via the premisys wcf service endpoint, which may allow complete control with admin privileges.",IDenticard,premisys
833,inadequate encryption strength,allow decryption and exposure of sensitive data.,IDenticard,premisys
834,use of hard-coded password,allow access to the information they contain.,IDenticard,premisys
835,use of hard-coded credentials,a hard-coded credentials vulnerability exists that could enable an attacker to gain access to the device.,Schneider Electric,evlink parking
836,improper control of generation of code ('code injection'),allow remote code execution with maximum privileges.,Schneider Electric,evlink parking
837,improper neutralization of special elements used in an sql command ('sql injection'),a sql injection vulnerability exists that could give an attacker access to the web interface with full privileges.,Schneider Electric,evlink parking
838,"reusing a nonce, key pair in encryption","allow nonce reuse, resulting in key reinstallation.",Stryker,"secure ii medsurg bed (enabled with ibed wireless), s3 medsurg bed (enabled with ibed wireless), intouch icu bed (enabled with bed wireless)"
839,unrestricted upload of file with dangerous type,"the service running on affected products does not properly restrict the upload of potentially malicious files, which could result in execution of arbitrary code.",Yokogawa,"centum vp, centum vp entry class, prosafe-rs, prm, b/m9000 vp"
840,uncontrolled resource consumption ('resource exhaustion'),a remote attacker can send specific bytes over port 5007 that will result in an ethernet stack crash.,Mitsubishi Electric,"q03/04/06/13/26udvcpu, q04/06/13/26udpvcpu, q03udecpu, q04/06/10/13/20/26/50/100udehcpu"
841,insufficiently protected credentials,,AVEVA,wonderware system platform
842,improper authentication,allow a possible authentication bypass allowing an attacker to upload malicious data.,Advantech,webaccess/scada
843,authentication bypass using an alternate path or channel,allow a possible authentication bypass that could allow an attacker to obtain and manipulate sensitive information.,Advantech,webaccess/scada
844,improper neutralization of special elements used in an sql command ('sql injection'),the software does not properly sanitize its inputs for sql commands.,Advantech,webaccess/scada
845,cross-site request forgery (csrf),allow an attacker to trick the web browser into transmitting unwanted commands.,PHOENIX CONTACT,"fl switch 3xxx, 4xxx and 48xx"
846,improper restriction of excessive authentication attempts,,PHOENIX CONTACT,"fl switch 3xxx, 4xxx and 48xx"
847,cleartext transmission of sensitive information,allows user credentials to be transmitted unencrypted.,PHOENIX CONTACT,"fl switch 3xxx, 4xxx and 48xx"
848,uncontrolled resource consumption (resource exhaustion),an attacker can initiate a web denial-of-service attack by producing an excessive number of web ui connections.,PHOENIX CONTACT,"fl switch 3xxx, 4xxx and 48xx"
849,insecure storage of sensitive information,an attacker may extract the switch’s default private keys from its firmware image.,PHOENIX CONTACT,"fl switch 3xxx, 4xxx and 48xx"
850,improper restriction of operations within the bounds of a memory buffer (memory corruption),allow a denial-of-service condition.,PHOENIX CONTACT,"fl switch 3xxx, 4xxx and 48xx"
851,improper input validation,cause the monitor to reboot.,Dräger,"infinity delta, delta xl, kappa, infinity explorer c700"
852,information exposure through log files,,Dräger,"infinity delta, delta xl, kappa, infinity explorer c700"
853,improper privilege management,,Dräger,"infinity delta, delta xl, kappa, infinity explorer c700"
854,improper limitation of a pathname to a restricted directory (‘path traversal’),"a path traversal vulnerability exists that an attacker could exploit, in certain circumstances, using valid platform (administrator) credentials to access a file or directory outside of the restricted location.",Johnson Controls,"facility explorer, facility explorer"
855,improper authentication,"in certain circumstances, an attacker could log into the local facility explorer platform using a disabled account name and a blank password, gaining administrator access to the facility explorer system.",Johnson Controls,"facility explorer, facility explorer"
856,improper control of generation of code ('code injection'),the application can execute code that has been injected into a project file.,Omron,cx-supervisor
857,improper neutralization of special elements used in a command ('command injection'),an attacker could inject commands to delete files and/or delete the contents of a file on the device through a specially crafted project file.,Omron,cx-supervisor
858,improper neutralization of special elements used in a command ('command injection'),"an attacker could inject commands to launch programs and create, write, and read files on the device through a specially crafted project file.",Omron,cx-supervisor
859,use after free,an attacker could use a specially crafted project file to exploit and execute code under the privileges of the application.,Omron,cx-supervisor
860,access of resource using incompatible type ('type confusion'),an attacker could use a specially crafted project file to exploit and execute code under the privileges of the application.,Omron,cx-supervisor
861,access of uninitialized pointer,an attacker could use a specially crafted project file to exploit and execute code under the privileges of the application.,Omron,cx-supervisor
862,out-of-bounds read,"when processing project files and tampering with the value of an offset, an attacker can force the application to read a value outside of an array.",Omron,cx-supervisor
863,improper input validation,the application contains a vulnerability in the file parser of the text editor wherein the application doesn’t properly prevent the insertion of specially crafted files.,ABB,"cp400pb, panel builder for cp405 and cp408"
